Month,Nitrogen Dioxide (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2008-01-01,55.5,29.5,25,14.7,4.2
2008-02-01,75.9,20.3,39.5,28.8,7.6
2008-03-01,55.6,40.1,21.6,12.3,3.9
2008-04-01,61.8,37.9,28.7,20.5,4.5
2008-05-01,62.9,46.3,34.6,27.5,4.6
2008-06-01,49.2,39.8,23.2,16,3.6
2008-07-01,48.4,35,23,14.2,3.1
2008-08-01,41.1,30,20.7,11.5,2.2
2008-09-01,54.1,22.4,28.2,18,3.7
2008-10-01,56.7,19.3,23,12.9,4.3
2008-11-01,57.9,18.8,21.9,14.7,3.3
2008-12-01,65.1,14.5,27.3,20.5,3.8
2009-01-01,68.5,18.8,31.1,23.2,5.9
2009-02-01,71.9,15.1,28,19.1,4.7
2009-03-01,65.2,32.3,30,19.7,3.3
2009-04-01,63.2,35.7,32.6,26.1,2.7
2009-05-01,48.6,45.4,24.9,14.3,2.8
2009-06-01,56.1,40.1,24.7,15.9,3.6
2009-07-01,44.4,32.8,20.2,11.2,2.4
2009-08-01,48.7,28.6,21.7,13.3,2.3
2009-09-01,51.6,26.3,24.3,14.4,2.4
2009-10-01,62.9,15,27.2,18,4.3
2009-11-01,53.7,29.9,21.9,12.9,3.4
2009-12-01,65.2,18.9,23.1,16.3,4.1
2010-01-01,65.7,14,30.2,24.3,4.7
2010-02-01,63.9,23.8,25.2,18.3,4.6
2010-03-01,59.8,26.4,25.6,15.9,3.4
2010-04-01,60.2,37.2,29.8,18.8,4.6
2010-05-01,53.2,35.1,24.5,16.2,3.9
2010-06-01,53.9,34,26.5,17.4,4.4
2010-07-01,46.5,28.6,20.9,12.5,3.1
2010-08-01,46.6,24.3,18.1,11,3.3
2010-09-01,57.2,20.3,23.8,14.5,3.6
2010-10-01,59.6,19.2,25.2,15.9,3.5
2010-11-01,65.7,15.4,28.2,21.9,4.2
2010-12-01,71.3,10.7,27.2,22.6,3.9
2011-01-01,61.8,21.5,24.4,17,3.4
2011-02-01,60.4,23.5,32.6,24.3,2.9
2011-03-01,69,23,43.3,32.6,3.8
2011-04-01,63.4,38.7,39.2,28.2,3.1
2011-05-01,49.4,42.4,23.7,13,2.4
2011-06-01,50.1,30.3,20.7,12,2.3
2011-07-01,51.5,32.8,21,12.8,2.6
2011-08-01,42.2,23.2,20.4,11.9,2.9
2011-09-01,55.6,24.1,26.4,14.9,2.1
2011-10-01,60.1,22.6,25.5,14.7,2.8
2011-11-01,48.8,10.9,35.4,25.2,3.4
2011-12-01,58.1,25.9,19.1,9.2,2.9
2012-01-01,62.3,20.6,26.5,15.8,3
2012-02-01,69.9,19.8,35,21.5,3.5
2012-03-01,72.8,21,42.6,30.3,3.7
2012-04-01,59,40.8,21.8,13.3,2.2
2012-05-01,57.5,43.2,29.4,18.6,2.4
2012-06-01,47,36.9,21.4,11.9,2.1
2012-07-01,52.8,29.2,22.1,12.8,2.4
2012-08-01,52.1,27.8,23.7,13.7,2.4
2012-09-01,57.4,25,22.5,12.4,2.9
2012-10-01,58.7,19,24.6,15.8,3.8
2012-11-01,69.6,16.5,27.8,17.4,3.4
2012-12-01,63.9,24.2,23.1,13.9,4.1
2013-01-01,67.6,19.9,30.1,20.5,4.4
2013-02-01,63.6,27.3,31.7,21.3,3.8
2013-03-01,65.6,35,36.2,25,3.5
2013-04-01,56.1,45.9,29.3,17.2,2.3
2013-05-01,57.1,41.6,24.4,14.4,3.8
2013-06-01,49.3,32.1,23.7,13.4,2
2013-07-01,54.8,34.8,28,15.8,2.8
2013-08-01,52.3,28.4,25.2,13.4,2.4
2013-09-01,59.1,16.3,29.7,17.2,2.9
2013-10-01,52.6,21.4,25.5,12.6,3.1
2013-11-01,62.3,14.3,27.1,14.7,4.1
2013-12-01,57.9,25.2,26.2,14.5,3.1
2014-01-01,56.3,26.2,22.3,11.6,1.8
2014-02-01,48.5,34.3,19.7,8.5,2.8
2014-03-01,66.2,23.6,35.7,23.8,3.3
2014-04-01,59.3,29.4,31,20,2.3
2014-05-01,56.9,35.5,23.3,13.6,1.4
2014-06-01,54.6,31.7,21.9,11.6,3
2014-07-01,49.9,30.5,22.8,13,3.3
2014-08-01,45.5,29.5,18.5,9.7,3
2014-09-01,63,21.1,35.5,25.2,5.5
2014-10-01,55.5,20.3,22.5,12.8,3.5
2014-11-01,64.7,12.8,29.4,20.3,3.6
2014-12-01,59.7,22.7,22.5,13.2,3.2
2015-01-01,62.7,23.8,24.3,13.5,4.3
2015-02-01,64.7,22.2,28.2,15.8,6
2015-03-01,55.8,29,31.2,19.5,2.8
2015-04-01,56.2,33.4,25.5,16.1,1.2
2015-05-01,48.6,41.6,20.1,10.5,3
2015-06-01,50.5,37.3,22.6,12.8,5.3
2015-07-01,49.5,34.4,20,11.1,6
2015-08-01,49,29,20.5,12.2,0.5
2015-09-01,57,21.2,20.4,12.6,1
2015-10-01,58.5,18.3,26,18.6,0
2015-11-01,53.9,24.9,21.8,12.7,3
2015-12-01,47.2,32.6,24.1,11.9,1.6
2016-01-01,60,23.8,23.2,13.6,3.9
2016-02-01,58.7,27.4,23.1,13,4.1
2016-03-01,57.6,30.2,26.1,18,3.5
2016-04-01,58.8,33.9,21.1,12.5,5.9
2016-05-01,50.9,39.6,22.4,13.8,4
2016-06-01,48.7,31.5,21.3,12.6,6.1
2016-07-01,45.4,24.2,17,10.9,2.5
2016-08-01,47.6,27.2,20.7,12.7,2
2016-09-01,54.7,21.6,21.5,12.9,2.5
2016-10-01,58.3,15.3,24.3,16.7,5
2016-11-01,66.1,15.4,24.6,14.5,6.1
2016-12-01,69.7,11.1,33.2,23.9,5.8
2017-01-01,71.6,12.8,31.8,23.8,8.5
2017-02-01,54,25.5,26,18.4,5.1
2017-03-01,52.3,33.6,23.3,13.5,2.4
2017-04-01,50.8,38.3,22.7,12.8,3.4
2017-05-01,47,34.3,22.8,12.8,2.1
2017-06-01,44.6,33.9,21.3,11,3.2
